frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,45.0,25.0,4,,0,
0,2,car,2,OFF,unknown,,,49.0,4.0,4,,0,
0,3,car,2,OFF,unknown,,,20.0,7.0,4,,0,
0,4,car,2,OFF,unknown,,,13.0,,4,,0,
1,2,car,2,OFF,unknown,,,49.0,5.0,4,,0,
1,1,car,2,OFF,unknown,,,44.0,24.0,4,,0,
1,3,car,2,OFF,unknown,,,20.0,7.0,4,,0,
1,4,car,2,OFF,unknown,,,13.0,,4,,0,
2,1,car,2,OFF,unknown,,,44.0,25.0,4,,0,
2,2,car,2,OFF,unknown,,,48.0,4.0,4,,0,
2,3,car,2,OFF,unknown,,,19.0,6.0,4,,0,
2,4,car,2,OFF,unknown,,,13.0,,4,,0,
3,1,car,2,OFF,unknown,,,43.0,25.0,4,,0,
3,2,car,2,OFF,unknown,,,47.0,4.0,4,,0,
3,3,car,2,OFF,unknown,,,18.0,5.0,4,,0,
3,4,car,2,OFF,unknown,,,13.0,,4,,0,
4,2,car,2,OFF,unknown,,,46.0,3.0,4,,0,
4,1,car,2,OFF,unknown,,,43.0,26.0,4,,0,
4,3,car,2,OFF,unknown,,,17.0,4.0,4,,0,
4,4,car,2,OFF,unknown,,,13.0,,4,,0,
5,2,car,2,OFF,unknown,,,45.0,2.0,4,,0,
5,1,car,2,OFF,unknown,,,43.0,27.0,4,,0,
5,3,car,2,OFF,unknown,,,16.0,3.0,4,,0,
5,4,car,2,OFF,unknown,,,13.0,,4,,0,
6,1,car,2,OFF,unknown,,,42.0,27.0,4,,0,
6,2,car,2,OFF,unknown,,,43.0,1.0,4,,0,
6,3,car,2,OFF,unknown,,,15.0,3.0,4,,0,
6,4,truck,7,OFF,unknown,,,12.0,,4,,0,
7,1,car,2,OFF,unknown,,,42.0,27.0,4,,0,
7,2,car,2,OFF,unknown,,,43.0,1.0,4,,0,
7,3,car,2,OFF,unknown,,,15.0,3.0,4,,0,
7,4,car,2,OFF,unknown,,,12.0,,4,,0,
8,1,car,2,OFF,unknown,,,41.0,27.0,4,,0,
8,2,car,2,OFF,unknown,,,42.0,1.0,4,,0,
8,3,car,2,OFF,unknown,,,14.0,1.0,4,,0,
8,4,car,2,OFF,unknown,,,13.0,,4,,0,
9,1,car,2,RED,red,,,41.0,28.0,4,,0,
9,2,car,2,RED,red,,,41.0,28.0,4,,0,
9,3,car,2,RED,red,,,13.0,,4,,0,
9,4,car,2,RED,red,,,13.0,,4,,0,
10,1,car,2,YELLOW,yellow,,,41.0,1.0,4,,1,
10,2,car,2,YELLOW,yellow,,,40.0,27.0,4,,1,
10,3,car,2,YELLOW,yellow,,,12.0,,4,,1,
10,4,car,2,YELLOW,yellow,,,13.0,1.0,4,,1,
11,1,car,2,YELLOW,yellow,10.0,36.0,40.0,1.0,4,4.0,1,
11,2,car,2,YELLOW,yellow,20.0,72.0,39.0,26.0,4,1.95,1,
11,3,car,2,YELLOW,yellow,18.0,64.8,11.0,,4,0.611,1,
11,4,car,2,YELLOW,yellow,0.0,0.0,13.0,2.0,4,,1,
12,1,car,2,YELLOW,yellow,9.231,33.231,40.0,2.0,4,4.333,1,
12,2,car,2,YELLOW,yellow,20.308,73.108,38.0,25.0,4,1.871,1,
12,3,car,2,YELLOW,yellow,18.462,66.462,10.0,,4,0.542,1,
12,4,car,2,YELLOW,yellow,0.0,0.0,13.0,3.0,4,,1,
13,1,car,2,YELLOW,yellow,8.571,30.857,40.0,3.0,4,4.667,1,
13,2,car,2,YELLOW,yellow,20.571,74.057,37.0,25.0,4,1.799,1,
13,3,car,2,YELLOW,yellow,17.143,61.714,10.0,,4,0.583,1,
13,4,car,2,YELLOW,yellow,1.714,6.171,12.0,2.0,4,7.0,1,
14,1,car,2,YELLOW,yellow,9.6,34.56,39.0,3.0,4,4.062,1,
14,2,car,2,YELLOW,yellow,20.8,74.88,36.0,24.0,4,1.731,1,
14,3,car,2,YELLOW,yellow,17.6,63.36,9.0,,4,0.511,1,
14,4,car,2,YELLOW,yellow,1.6,5.76,12.0,3.0,4,7.5,1,
15,1,car,2,YELLOW,yellow,9.0,32.4,39.0,4.0,4,4.333,1,
15,2,car,2,YELLOW,yellow,21.0,75.6,35.0,22.0,4,1.667,1,
15,3,car,2,YELLOW,yellow,18.0,64.8,8.0,,4,0.444,1,
15,4,car,2,YELLOW,yellow,0.0,0.0,13.0,5.0,4,,1,
16,1,car,2,YELLOW,yellow,8.471,30.494,39.0,5.0,4,4.604,1,
16,2,car,2,YELLOW,yellow,21.176,76.235,34.0,21.0,4,1.606,1,
16,3,car,2,YELLOW,yellow,16.941,60.988,8.0,,4,0.472,1,
16,4,car,2,YELLOW,yellow,0.0,0.0,13.0,5.0,4,,1,
17,2,car,2,YELLOW,yellow,21.333,76.8,33.0,21.0,4,1.547,1,
17,1,car,2,YELLOW,yellow,9.333,33.6,38.0,5.0,4,4.071,1,
17,3,car,2,YELLOW,yellow,17.333,62.4,7.0,,4,0.404,1,
17,4,car,2,YELLOW,yellow,1.333,4.8,12.0,5.0,4,9.0,1,
18,2,car,2,YELLOW,yellow,21.474,77.305,32.0,20.0,4,1.49,1,
18,1,car,2,YELLOW,yellow,8.842,31.832,38.0,6.0,4,4.298,1,
18,3,car,2,YELLOW,yellow,17.684,63.663,6.0,,4,0.339,1,
18,4,car,2,YELLOW,yellow,1.263,4.547,12.0,6.0,4,9.5,1,
19,2,car,2,YELLOW,yellow,20.4,73.44,32.0,20.0,4,1.569,1,
19,1,car,2,YELLOW,yellow,9.6,34.56,37.0,5.0,4,3.854,1,
19,3,car,2,YELLOW,yellow,16.8,60.48,6.0,,4,0.357,1,
19,4,car,2,YELLOW,yellow,1.2,4.32,12.0,6.0,4,10.0,1,
20,1,car,2,YELLOW,yellow,9.143,32.914,37.0,7.0,4,4.047,1,
20,2,car,2,YELLOW,yellow,21.714,78.171,30.0,18.0,4,1.382,1,
20,3,car,2,YELLOW,yellow,17.143,61.714,5.0,,4,0.292,1,
20,4,car,2,YELLOW,yellow,1.143,4.114,12.0,7.0,4,10.5,1,
21,1,car,2,YELLOW,yellow,8.727,31.418,37.0,8.0,4,4.24,1,
