frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,41.0,7.0,5,,0,
0,2,car,2,OFF,unknown,,,54.0,9.0,5,,0,
0,3,truck,7,OFF,unknown,,,34.0,13.0,5,,0,
0,4,car,2,OFF,unknown,,,21.0,,5,,0,
0,5,car,2,OFF,unknown,,,45.0,4.0,5,,0,
1,1,car,2,OFF,unknown,,,41.0,8.0,5,,0,
1,2,car,2,OFF,unknown,,,54.0,9.0,5,,0,
1,3,truck,7,OFF,unknown,,,33.0,12.0,5,,0,
1,5,car,2,OFF,unknown,,,45.0,4.0,5,,0,
1,4,car,2,OFF,unknown,,,21.0,,5,,0,
2,2,car,2,OFF,unknown,,,53.0,8.0,5,,0,
2,1,car,2,OFF,unknown,,,40.0,6.0,5,,0,
2,4,car,2,OFF,unknown,,,20.0,,5,,0,
2,3,truck,7,OFF,unknown,,,34.0,14.0,5,,0,
2,5,car,2,OFF,unknown,,,45.0,5.0,5,,0,
3,1,car,2,OFF,unknown,,,40.0,6.0,5,,0,
3,2,car,2,OFF,unknown,,,53.0,9.0,5,,0,
3,4,car,2,OFF,unknown,,,20.0,,5,,0,
3,3,truck,7,OFF,unknown,,,34.0,14.0,5,,0,
3,5,car,2,OFF,unknown,,,44.0,4.0,5,,0,
4,1,car,2,OFF,unknown,,,39.0,6.0,5,,0,
4,2,car,2,OFF,unknown,,,54.0,9.0,5,,0,
4,5,car,2,OFF,unknown,,,45.0,6.0,5,,0,
4,3,truck,7,OFF,unknown,,,33.0,12.0,5,,0,
4,4,car,2,OFF,unknown,,,21.0,,5,,0,
5,6,car,2,OFF,unknown,,,58.0,4.0,6,,0,
5,1,car,2,OFF,unknown,,,39.0,5.0,6,,0,
5,2,car,2,OFF,unknown,,,54.0,9.0,6,,0,
5,4,car,2,OFF,unknown,,,21.0,,6,,0,
5,3,truck,7,OFF,unknown,,,34.0,13.0,6,,0,
5,5,car,2,OFF,unknown,,,45.0,6.0,6,,0,
6,1,car,2,OFF,unknown,,,38.0,4.0,6,,0,
6,2,car,2,OFF,unknown,,,54.0,9.0,6,,0,
6,6,car,2,OFF,unknown,,,56.0,2.0,6,,0,
6,4,car,2,OFF,unknown,,,20.0,,6,,0,
6,3,truck,7,OFF,unknown,,,34.0,14.0,6,,0,
6,5,car,2,OFF,unknown,,,45.0,7.0,6,,0,
7,1,car,2,OFF,unknown,,,37.0,3.0,6,,0,
7,6,car,2,OFF,unknown,,,55.0,2.0,6,,0,
7,2,car,2,OFF,unknown,,,53.0,8.0,6,,0,
7,3,truck,7,OFF,unknown,,,34.0,14.0,6,,0,
7,4,car,2,OFF,unknown,,,20.0,,6,,0,
7,5,car,2,OFF,unknown,,,45.0,8.0,6,,0,
8,1,car,2,OFF,unknown,,,37.0,3.0,6,,0,
8,6,car,2,OFF,unknown,,,54.0,1.0,6,,0,
8,2,car,2,OFF,unknown,,,53.0,8.0,6,,0,
8,3,truck,7,OFF,unknown,,,34.0,14.0,6,,0,
8,4,car,2,OFF,unknown,,,20.0,,6,,0,
8,5,car,2,OFF,unknown,,,45.0,8.0,6,,0,
9,1,car,2,YELLOW,yellow,,,37.0,3.0,6,,1,
9,2,car,2,YELLOW,yellow,,,53.0,8.0,6,,1,
9,6,car,2,YELLOW,yellow,,,53.0,8.0,6,,1,
9,4,car,2,YELLOW,yellow,,,19.0,,6,,1,
9,3,truck,7,YELLOW,yellow,,,34.0,15.0,6,,1,
9,5,car,2,YELLOW,yellow,,,45.0,8.0,6,,1,
10,1,car,2,YELLOW,yellow,,,36.0,4.0,6,,1,
10,6,car,2,YELLOW,yellow,,,52.0,8.0,6,,1,
10,2,car,2,YELLOW,yellow,,,53.0,1.0,6,,1,
10,3,truck,7,YELLOW,yellow,,,32.0,12.0,6,,1,
10,4,car,2,YELLOW,yellow,,,20.0,,6,,1,
10,5,car,2,YELLOW,yellow,,,44.0,8.0,6,,1,
11,1,car,2,YELLOW,yellow,10.0,36.0,36.0,4.0,6,3.6,1,
11,6,car,2,YELLOW,yellow,,,51.0,7.0,6,,1,
11,2,car,2,YELLOW,yellow,2.0,7.2,53.0,2.0,6,26.5,1,
11,4,car,2,YELLOW,yellow,4.0,14.4,19.0,,6,4.75,1,
11,3,truck,7,YELLOW,yellow,4.0,14.4,32.0,13.0,6,8.0,1,
11,5,car,2,YELLOW,yellow,2.0,7.2,44.0,8.0,6,22.0,1,
12,1,car,2,YELLOW,yellow,11.077,39.877,35.0,2.0,6,3.16,1,
12,2,car,2,YELLOW,yellow,1.846,6.646,53.0,3.0,6,28.708,1,
12,6,car,2,YELLOW,yellow,,,50.0,8.0,6,,1,
12,4,car,2,YELLOW,yellow,3.692,13.292,19.0,,6,5.146,1,
12,3,truck,7,YELLOW,yellow,1.846,6.646,33.0,14.0,6,17.875,1,
12,5,car,2,YELLOW,yellow,5.538,19.938,42.0,7.0,6,7.583,1,
13,1,car,2,YELLOW,yellow,10.286,37.029,35.0,2.0,6,3.403,1,
13,2,car,2,YELLOW,yellow,1.714,6.171,53.0,5.0,6,30.917,1,
13,6,car,2,YELLOW,yellow,,,48.0,4.0,6,,1,
13,3,truck,7,YELLOW,yellow,1.714,6.171,33.0,13.0,6,19.25,1,
13,5,car,2,YELLOW,yellow,1.714,6.171,44.0,9.0,6,25.667,1,
13,4,car,2,YELLOW,yellow,1.714,6.171,20.0,,6,11.667,1,
14,2,car,2,YELLOW,yellow,1.6,5.76,53.0,5.0,6,33.125,1,
14,1,car,2,YELLOW,yellow,11.2,40.32,34.0,2.0,6,3.036,1,
14,6,car,2,YELLOW,yellow,,,48.0,3.0,6,,1,
14,3,truck,7,YELLOW,yellow,3.2,11.52,32.0,12.0,6,10.0,1,
14,5,car,2,YELLOW,yellow,0.0,0.0,45.0,11.0,6,,1,
14,4,car,2,YELLOW,yellow,1.6,5.76,20.0,,6,12.5,1,
15,1,car,2,YELLOW,yellow,10.5,37.8,34.0,1.0,6,3.238,1,
15,2,car,2,YELLOW,yellow,1.5,5.4,53.0,6.0,6,35.333,1,
15,6,car,2,YELLOW,yellow,,,47.0,2.0,6,,1,
