frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,34.0,3.0,8,,0,
0,2,car,2,OFF,unknown,,,48.0,11.0,8,,0,
0,3,car,2,OFF,unknown,,,10.0,6.0,8,,0,
0,4,car,2,OFF,unknown,,,11.0,1.0,8,,0,
0,5,car,2,OFF,unknown,,,31.0,12.0,8,,0,
0,6,car,2,OFF,unknown,,,37.0,3.0,8,,0,
0,7,truck,7,OFF,unknown,,,19.0,8.0,8,,0,
0,8,truck,7,OFF,unknown,,,4.0,,8,,0,
1,1,car,2,OFF,unknown,,,33.0,2.0,8,,0,
1,4,car,2,OFF,unknown,,,11.0,2.0,8,,0,
1,2,car,2,OFF,unknown,,,48.0,11.0,8,,0,
1,3,car,2,OFF,unknown,,,9.0,6.0,8,,0,
1,5,car,2,OFF,unknown,,,31.0,12.0,8,,0,
1,7,truck,7,OFF,unknown,,,19.0,8.0,8,,0,
1,8,truck,7,OFF,unknown,,,3.0,,8,,0,
1,6,car,2,OFF,unknown,,,37.0,4.0,8,,0,
2,1,car,2,OFF,unknown,,,33.0,1.0,9,,0,
2,4,car,2,OFF,unknown,,,10.0,1.0,9,,0,
2,2,car,2,OFF,unknown,,,48.0,11.0,9,,0,
2,3,car,2,OFF,unknown,,,9.0,7.0,9,,0,
2,5,car,2,OFF,unknown,,,31.0,12.0,9,,0,
2,7,truck,7,OFF,unknown,,,19.0,9.0,9,,0,
2,6,car,2,OFF,unknown,,,37.0,4.0,9,,0,
2,8,truck,7,OFF,unknown,,,2.0,,9,,0,
2,9,motorcycle,3,OFF,unknown,,,32.0,1.0,9,,0,
3,1,car,2,OFF,unknown,,,32.0,1.0,9,,0,
3,4,car,2,OFF,unknown,,,10.0,2.0,9,,0,
3,2,car,2,OFF,unknown,,,48.0,11.0,9,,0,
3,3,car,2,OFF,unknown,,,8.0,6.0,9,,0,
3,5,car,2,OFF,unknown,,,31.0,12.0,9,,0,
3,7,truck,7,OFF,unknown,,,19.0,9.0,9,,0,
3,8,truck,7,OFF,unknown,,,2.0,,9,,0,
3,6,car,2,OFF,unknown,,,37.0,5.0,9,,0,
3,9,motorcycle,3,OFF,unknown,,,31.0,12.0,9,,0,
4,1,car,2,OFF,unknown,,,31.0,1.0,9,,0,
4,3,car,2,OFF,unknown,,,7.0,4.0,9,,0,
4,2,car,2,OFF,unknown,,,48.0,11.0,9,,0,
4,4,car,2,OFF,unknown,,,9.0,2.0,9,,0,
4,8,truck,7,OFF,unknown,,,3.0,,9,,0,
4,6,car,2,OFF,unknown,,,37.0,5.0,9,,0,
4,5,car,2,OFF,unknown,,,32.0,1.0,9,,0,
4,7,truck,7,OFF,unknown,,,20.0,11.0,9,,0,
4,9,motorcycle,3,OFF,unknown,,,30.0,10.0,9,,0,
5,1,car,2,OFF,unknown,,,30.0,1.0,10,,0,
5,3,car,2,OFF,unknown,,,7.0,4.0,10,,0,
5,2,car,2,OFF,unknown,,,48.0,9.0,10,,0,
5,4,car,2,OFF,unknown,,,9.0,2.0,10,,0,
5,8,truck,7,OFF,unknown,,,3.0,,10,,0,
5,6,car,2,OFF,unknown,,,37.0,5.0,10,,0,
5,5,car,2,OFF,unknown,,,32.0,2.0,10,,0,
5,12,motorcycle,3,OFF,unknown,,,39.0,2.0,10,,0,
5,7,truck,7,OFF,unknown,,,20.0,11.0,10,,0,
5,9,motorcycle,3,OFF,unknown,,,29.0,9.0,10,,0,
6,1,car,2,OFF,unknown,,,30.0,2.0,9,,0,
6,3,car,2,OFF,unknown,,,6.0,3.0,9,,0,
6,4,car,2,OFF,unknown,,,8.0,2.0,9,,0,
6,2,car,2,OFF,unknown,,,48.0,11.0,9,,0,
6,6,car,2,OFF,unknown,,,37.0,5.0,9,,0,
6,8,truck,7,OFF,unknown,,,3.0,,9,,0,
6,5,car,2,OFF,unknown,,,32.0,2.0,9,,0,
6,7,truck,7,OFF,unknown,,,20.0,12.0,9,,0,
6,9,motorcycle,3,OFF,unknown,,,28.0,8.0,9,,0,
7,1,car,2,OFF,unknown,,,29.0,2.0,9,,0,
7,4,car,2,OFF,unknown,,,7.0,1.0,9,,0,
7,3,car,2,OFF,unknown,,,6.0,4.0,9,,0,
7,2,car,2,OFF,unknown,,,48.0,11.0,9,,0,
7,8,truck,7,OFF,unknown,,,2.0,,9,,0,
7,6,car,2,OFF,unknown,,,37.0,5.0,9,,0,
7,5,car,2,OFF,unknown,,,32.0,3.0,9,,0,
7,7,truck,7,OFF,unknown,,,20.0,13.0,9,,0,
7,9,motorcycle,3,OFF,unknown,,,27.0,7.0,9,,0,
8,1,car,2,OFF,unknown,,,28.0,1.0,10,,0,
8,4,car,2,OFF,unknown,,,7.0,1.0,10,,0,
8,3,car,2,OFF,unknown,,,6.0,4.0,10,,0,
8,2,car,2,OFF,unknown,,,48.0,11.0,10,,0,
8,8,truck,7,OFF,unknown,,,2.0,,10,,0,
8,13,motorcycle,3,OFF,unknown,,,36.0,4.0,10,,0,
8,6,car,2,OFF,unknown,,,37.0,1.0,10,,0,
8,5,car,2,OFF,unknown,,,32.0,4.0,10,,0,
