frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision
104,2,car,2,1,54,0,1.0,0.0,0.0,GREEN,False,54.0,8.0,6,,stop
104,3,car,2,1,46,1,1.0,3.6,1.0,GREEN,False,46.0,10.0,6,46.0,stop
104,11,car,2,3,12,7,1.0,25.2,7.0,GREEN,False,12.0,,6,1.7142857142857142,stop
104,13,car,2,4,31,12,1.0,43.2,12.0,GREEN,False,31.0,19.0,6,2.5833333333333335,stop
105,15,car,2,4,58,,,,,GREEN,False,58.0,4.0,7,,
105,1,truck,7,1,32,0,1.0,0.0,0.0,GREEN,False,32.0,1.0,7,,stop
105,2,car,2,1,54,0,1.0,0.0,0.0,GREEN,False,54.0,7.0,7,,stop
105,14,car,2,6,36,12,1.0,43.2,12.0,GREEN,False,36.0,4.0,7,3.0,stop
105,3,car,2,1,47,0,1.0,0.0,0.0,GREEN,False,47.0,11.0,7,,stop
105,13,car,2,4,31,12,1.0,43.2,12.0,GREEN,False,31.0,19.0,7,2.5833333333333335,stop
105,11,car,2,3,12,7,1.0,25.2,7.0,GREEN,False,12.0,,7,1.7142857142857142,stop
106,15,car,2,4,57,,,,,GREEN,False,57.0,3.0,8,,
106,1,truck,7,1,32,0,1.0,0.0,0.0,GREEN,False,32.0,1.0,8,,stop
106,2,car,2,1,54,0,1.0,0.0,0.0,GREEN,False,54.0,7.0,8,,stop
106,14,car,2,6,35,12,1.0,43.2,12.0,GREEN,False,35.0,3.0,8,2.9166666666666665,stop
106,3,car,2,1,47,0,1.0,0.0,0.0,GREEN,False,47.0,12.0,8,,stop
106,11,car,2,3,12,7,1.0,25.2,7.0,GREEN,False,12.0,12.0,8,1.7142857142857142,stop
106,13,car,2,4,31,11,1.0,39.6,11.0,GREEN,False,31.0,19.0,8,2.8181818181818183,stop
106,6,truck,7,1,0,6,1.0,21.6,6.0,GREEN,False,0.0,,8,,stop
107,15,car,2,4,56,,,,,GREEN,False,56.0,2.0,8,,
107,1,truck,7,1,32,0,1.0,0.0,0.0,GREEN,False,32.0,2.0,8,,stop
107,14,car,2,6,34,13,1.0,46.800000000000004,13.0,GREEN,False,34.0,2.0,8,2.6153846153846154,stop
107,2,car,2,1,54,0,1.0,0.0,0.0,GREEN,False,54.0,7.0,8,,stop
107,3,car,2,1,47,0,1.0,0.0,0.0,GREEN,False,47.0,13.0,8,,stop
107,11,car,2,3,12,7,1.0,25.2,7.0,GREEN,False,12.0,11.0,8,1.7142857142857142,stop
107,13,car,2,4,30,12,1.0,43.2,12.0,GREEN,False,30.0,18.0,8,2.5,stop
107,6,truck,7,1,1,1,1.0,3.6,1.0,GREEN,False,1.0,,8,1.0,stop
108,15,car,2,4,56,,,,,GREEN,False,56.0,2.0,8,,
108,1,truck,7,1,32,0,1.0,0.0,0.0,GREEN,False,32.0,2.0,8,,stop
108,14,car,2,6,34,12,1.0,43.2,12.0,GREEN,False,34.0,2.0,8,2.8333333333333335,stop
108,2,car,2,1,54,0,1.0,0.0,0.0,GREEN,False,54.0,7.0,8,,stop
108,3,car,2,1,47,0,1.0,0.0,0.0,GREEN,False,47.0,13.0,8,,stop
108,13,car,2,4,30,11,1.0,39.6,11.0,GREEN,False,30.0,18.0,8,2.727272727272727,stop
108,11,car,2,3,12,6,1.0,21.6,6.0,GREEN,False,12.0,10.0,8,2.0,stop
108,6,truck,7,1,2,2,1.0,7.2,2.0,GREEN,False,2.0,,8,1.0,stop
109,15,car,2,4,55,,,,,RED,False,55.0,1.0,8,,
109,1,truck,7,1,32,0,1.0,0.0,0.0,RED,False,32.0,2.0,8,,stop
109,2,car,2,1,54,0,1.0,0.0,0.0,RED,False,54.0,7.0,8,,stop
109,13,car,2,4,30,10,1.0,36.0,10.0,RED,False,30.0,18.0,8,3.0,stop
109,14,car,2,6,34,11,1.0,39.6,11.0,RED,False,34.0,2.0,8,3.090909090909091,stop
109,3,car,2,1,47,0,1.0,0.0,0.0,RED,False,47.0,13.0,8,,stop
109,11,car,2,3,12,6,1.0,21.6,6.0,RED,False,12.0,10.0,8,2.0,stop
109,6,truck,7,1,2,2,1.0,7.2,2.0,RED,False,2.0,,8,1.0,stop
110,15,car,2,4,55,,,,,RED,False,55.0,1.0,7,,
110,2,car,2,1,54,0,1.0,0.0,0.0,RED,False,54.0,7.0,7,,stop
110,14,car,2,6,33,12,1.0,43.2,12.0,RED,False,33.0,1.0,7,2.75,stop
110,1,truck,7,1,32,0,1.0,0.0,0.0,RED,False,32.0,3.0,7,,stop
110,3,car,2,1,47,1,1.0,3.6,1.0,RED,False,47.0,14.0,7,47.0,stop
110,13,car,2,4,29,11,1.0,39.6,11.0,RED,False,29.0,18.0,7,2.6363636363636362,stop
110,11,car,2,3,11,6,1.0,21.6,6.0,RED,False,11.0,,7,1.8333333333333333,stop
