frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,36.0,14.0,4,,0,
0,2,car,2,OFF,unknown,,,49.0,9.0,4,,0,
0,3,car,2,OFF,unknown,,,40.0,4.0,4,,0,
0,4,car,2,OFF,unknown,,,22.0,,4,,0,
1,1,car,2,OFF,unknown,,,36.0,15.0,4,,0,
1,2,car,2,OFF,unknown,,,49.0,9.0,4,,0,
1,3,car,2,OFF,unknown,,,40.0,4.0,4,,0,
1,4,car,2,OFF,unknown,,,21.0,,4,,0,
2,1,car,2,OFF,unknown,,,36.0,7.0,7,,0,
2,2,car,2,OFF,unknown,,,49.0,9.0,7,,0,
2,3,car,2,OFF,unknown,,,40.0,4.0,7,,0,
2,8,car,2,OFF,unknown,,,29.0,8.0,7,,0,
2,6,car,2,OFF,unknown,,,16.0,,7,,0,
2,4,car,2,OFF,unknown,,,21.0,5.0,7,,0,
2,5,motorcycle,3,OFF,unknown,,,40.0,4.0,7,,0,
3,1,car,2,OFF,unknown,,,35.0,6.0,7,,0,
3,2,car,2,OFF,unknown,,,49.0,9.0,7,,0,
3,3,car,2,OFF,unknown,,,40.0,5.0,7,,0,
3,8,car,2,OFF,unknown,,,29.0,8.0,7,,0,
3,6,car,2,OFF,unknown,,,17.0,,7,,0,
3,5,motorcycle,3,OFF,unknown,,,40.0,5.0,7,,0,
3,4,car,2,OFF,unknown,,,21.0,4.0,7,,0,
4,9,truck,7,OFF,unknown,,,57.0,8.0,7,,0,
4,2,car,2,OFF,unknown,,,49.0,9.0,7,,0,
4,1,car,2,OFF,unknown,,,35.0,6.0,7,,0,
4,3,car,2,OFF,unknown,,,40.0,5.0,7,,0,
4,4,car,2,OFF,unknown,,,21.0,4.0,7,,0,
4,8,car,2,OFF,unknown,,,29.0,8.0,7,,0,
4,6,car,2,OFF,unknown,,,17.0,,7,,0,
5,9,truck,7,OFF,unknown,,,56.0,7.0,8,,0,
5,2,car,2,OFF,unknown,,,49.0,9.0,8,,0,
5,1,car,2,OFF,unknown,,,35.0,7.0,8,,0,
5,3,car,2,OFF,unknown,,,40.0,1.0,8,,0,
5,6,car,2,OFF,unknown,,,17.0,,8,,0,
5,4,car,2,OFF,unknown,,,21.0,4.0,8,,0,
5,8,car,2,OFF,unknown,,,28.0,7.0,8,,0,
5,5,motorcycle,3,OFF,unknown,,,39.0,4.0,8,,0,
6,9,truck,7,OFF,unknown,,,56.0,7.0,8,,0,
6,1,car,2,OFF,unknown,,,34.0,6.0,8,,0,
6,2,car,2,OFF,unknown,,,49.0,9.0,8,,0,
6,3,car,2,OFF,unknown,,,40.0,1.0,8,,0,
6,4,car,2,OFF,unknown,,,20.0,3.0,8,,0,
6,8,car,2,OFF,unknown,,,28.0,8.0,8,,0,
6,5,motorcycle,3,OFF,unknown,,,39.0,5.0,8,,0,
6,6,car,2,OFF,unknown,,,17.0,,8,,0,
7,9,truck,7,OFF,unknown,,,56.0,7.0,8,,0,
7,1,car,2,OFF,unknown,,,34.0,6.0,8,,0,
7,2,car,2,OFF,unknown,,,49.0,9.0,8,,0,
7,3,car,2,OFF,unknown,,,40.0,2.0,8,,0,
7,4,car,2,OFF,unknown,,,20.0,3.0,8,,0,
7,5,motorcycle,3,OFF,unknown,,,38.0,4.0,8,,0,
7,8,car,2,OFF,unknown,,,28.0,8.0,8,,0,
7,6,car,2,OFF,unknown,,,17.0,,8,,0,
8,9,truck,7,OFF,unknown,,,55.0,6.0,7,,0,
8,1,car,2,OFF,unknown,,,34.0,9.0,7,,0,
8,2,car,2,OFF,unknown,,,49.0,9.0,7,,0,
8,3,car,2,OFF,unknown,,,40.0,6.0,7,,0,
8,8,car,2,OFF,unknown,,,25.0,7.0,7,,0,
8,6,car,2,OFF,unknown,,,17.0,,7,,0,
8,4,car,2,OFF,unknown,,,18.0,1.0,7,,0,
9,9,truck,7,RED,red,,,54.0,5.0,9,,0,
9,2,car,2,RED,red,,,49.0,9.0,9,,0,
9,1,car,2,RED,red,,,34.0,9.0,9,,0,
9,3,car,2,RED,red,,,40.0,2.0,9,,0,
9,4,car,2,RED,red,,,18.0,1.0,9,,0,
9,8,car,2,RED,red,,,25.0,7.0,9,,0,
9,5,motorcycle,3,RED,red,,,38.0,4.0,9,,0,
9,6,car,2,RED,red,,,17.0,1.0,9,,0,
9,10,motorcycle,3,RED,red,,,16.0,,9,,0,
10,9,truck,7,RED,red,,,54.0,5.0,9,,0,
10,2,car,2,RED,red,,,49.0,9.0,9,,0,
10,1,car,2,RED,red,,,34.0,9.0,9,,0,
10,3,car,2,RED,red,,,40.0,2.0,9,,0,
10,5,motorcycle,3,RED,red,,,38.0,4.0,9,,0,
10,4,car,2,RED,red,,,19.0,2.0,9,,0,
10,8,car,2,RED,red,,,25.0,6.0,9,,0,
10,6,car,2,RED,red,,,17.0,1.0,9,,0,
10,10,motorcycle,3,RED,red,,,16.0,,9,,0,
11,9,truck,7,RED,red,,,53.0,4.0,8,,0,
11,1,car,2,RED,red,,,33.0,5.0,8,,0,
11,2,car,2,RED,red,,,49.0,9.0,8,,0,
11,3,car,2,RED,red,,,40.0,3.0,8,,0,
11,4,car,2,RED,red,,,18.0,1.0,8,,0,
11,5,motorcycle,3,RED,red,,,37.0,4.0,8,,0,
11,8,car,2,RED,red,,,28.0,10.0,8,,0,
11,6,car,2,RED,red,,,17.0,,8,,0,
12,9,truck,7,RED,red,,,52.0,3.0,7,,0,
12,2,car,2,RED,red,0.0,0.0,49.0,9.0,7,,0,
12,1,car,2,RED,red,6.0,21.6,33.0,6.0,7,5.5,0,
12,3,car,2,RED,red,0.0,0.0,40.0,7.0,7,,0,
12,4,car,2,RED,red,10.0,36.0,17.0,,7,1.7,0,
12,8,car,2,RED,red,,,27.0,10.0,7,,0,
12,6,car,2,RED,red,,,17.0,,7,,0,
13,9,truck,7,RED,red,,,52.0,3.0,9,,0,
13,2,car,2,RED,red,0.0,0.0,49.0,9.0,9,,0,
13,1,car,2,RED,red,5.571,20.057,33.0,6.0,9,5.923,0,
13,3,car,2,RED,red,0.0,0.0,40.0,3.0,9,,0,
13,8,car,2,RED,red,,,27.0,10.0,9,,0,
13,6,car,2,RED,red,,,16.0,2.0,9,,0,
13,5,motorcycle,3,RED,red,,,37.0,4.0,9,,0,
13,4,car,2,RED,red,9.286,33.429,17.0,1.0,9,1.831,0,
13,10,motorcycle,3,RED,red,,,14.0,,9,,0,
14,9,truck,7,RED,red,,,52.0,3.0,8,,0,
14,2,car,2,RED,red,0.0,0.0,49.0,9.0,8,,0,
14,3,car,2,RED,red,0.0,0.0,40.0,8.0,8,,0,
14,1,car,2,RED,red,6.933,24.96,32.0,5.0,8,4.615,0,
14,8,car,2,RED,red,4.0,14.4,27.0,11.0,8,6.75,0,
14,6,car,2,RED,red,0.0,0.0,16.0,1.0,8,,0,
14,10,motorcycle,3,RED,red,,,13.0,,8,,0,
14,4,car,2,RED,red,12.133,43.68,15.0,2.0,8,1.236,0,
15,9,truck,7,RED,red,,,51.0,2.0,8,,0,
15,2,car,2,RED,red,0.0,0.0,49.0,9.0,8,,0,
15,3,car,2,RED,red,0.0,0.0,40.0,8.0,8,,0,
15,1,car,2,RED,red,6.5,23.4,32.0,4.0,8,4.923,0,
15,8,car,2,RED,red,1.857,6.686,28.0,12.0,8,15.077,0,
15,6,car,2,RED,red,0.0,0.0,16.0,1.0,8,,0,
15,10,motorcycle,3,RED,red,,,12.0,,8,,0,
15,4,car,2,RED,red,11.375,40.95,15.0,3.0,8,1.319,0,
16,9,truck,7,YELLOW,yellow,12.0,43.2,51.0,2.0,6,4.25,1,
16,2,car,2,YELLOW,yellow,0.0,0.0,49.0,9.0,6,,1,
16,8,car,2,YELLOW,yellow,6.933,24.96,25.0,11.0,6,3.606,1,
16,3,car,2,YELLOW,yellow,0.0,0.0,40.0,8.0,6,,1,
16,1,truck,7,YELLOW,yellow,6.118,22.024,32.0,7.0,6,5.231,1,
16,6,car,2,YELLOW,yellow,3.467,12.48,14.0,,6,4.038,1,
17,9,truck,7,YELLOW,yellow,13.0,46.8,50.0,1.0,6,3.846,1,
17,2,car,2,YELLOW,yellow,0.0,0.0,49.0,9.0,6,,1,
17,8,car,2,YELLOW,yellow,6.5,23.4,25.0,11.0,6,3.846,1,
17,3,car,2,YELLOW,yellow,0.0,0.0,40.0,9.0,6,,1,
17,1,car,2,YELLOW,yellow,7.222,26.0,31.0,6.0,6,4.292,1,
17,6,car,2,YELLOW,yellow,3.25,11.7,14.0,,6,4.308,1,
18,9,truck,7,YELLOW,yellow,13.867,49.92,49.0,9.0,5,3.534,1,
18,2,car,2,YELLOW,yellow,0.0,0.0,49.0,9.0,5,,1,
18,1,car,2,YELLOW,yellow,6.842,24.632,31.0,6.0,5,4.531,1,
18,8,car,2,YELLOW,yellow,6.118,22.024,25.0,,5,4.087,1,
18,3,car,2,YELLOW,yellow,0.0,0.0,40.0,9.0,5,,1,
19,9,truck,7,YELLOW,yellow,13.0,46.8,49.0,9.0,7,3.769,1,
19,2,car,2,YELLOW,yellow,0.0,0.0,49.0,9.0,7,,1,
19,8,car,2,YELLOW,yellow,5.778,20.8,25.0,14.0,7,4.327,1,
19,3,car,2,YELLOW,yellow,0.0,0.0,40.0,9.0,7,,1,
19,12,motorcycle,3,YELLOW,yellow,,,57.0,8.0,7,,1,
19,1,car,2,YELLOW,yellow,6.5,23.4,31.0,6.0,7,4.769,1,
19,10,motorcycle,3,YELLOW,yellow,,,11.0,,7,,1,
20,9,truck,7,YELLOW,yellow,13.765,49.553,48.0,8.0,8,3.487,1,
20,2,car,2,YELLOW,yellow,0.0,0.0,49.0,1.0,8,,1,
20,1,car,2,YELLOW,yellow,6.19,22.286,31.0,6.0,8,5.008,1,
20,8,car,2,YELLOW,yellow,5.474,19.705,25.0,6.0,8,4.567,1,
20,3,car,2,YELLOW,yellow,0.0,0.0,40.0,9.0,8,,1,
20,12,motorcycle,3,YELLOW,yellow,,,55.0,6.0,8,,1,
20,10,motorcycle,3,YELLOW,yellow,,,10.0,,8,,1,
20,4,car,2,YELLOW,yellow,4.588,16.518,19.0,9.0,8,4.141,1,
21,9,truck,7,YELLOW,yellow,13.0,46.8,48.0,8.0,9,3.692,1,
21,2,car,2,YELLOW,yellow,0.0,0.0,49.0,1.0,9,,1,
21,1,car,2,YELLOW,yellow,7.091,25.527,30.0,5.0,9,4.231,1,
21,3,car,2,YELLOW,yellow,0.0,0.0,40.0,10.0,9,,1,
21,12,motorcycle,3,YELLOW,yellow,,,54.0,5.0,9,,1,
21,8,car,2,YELLOW,yellow,5.2,18.72,25.0,6.0,9,4.808,1,
21,10,motorcycle,3,YELLOW,yellow,,,10.0,,9,,1,
21,4,car,2,YELLOW,yellow,4.333,15.6,19.0,2.0,9,4.385,1,
21,6,car,2,YELLOW,yellow,1.529,5.506,17.0,7.0,9,11.115,1,
22,9,truck,7,YELLOW,yellow,12.316,44.337,48.0,8.0,8,3.897,1,
22,2,car,2,YELLOW,yellow,0.0,0.0,49.0,1.0,8,,1,
22,1,car,2,YELLOW,yellow,6.783,24.417,30.0,5.0,8,4.423,1,
22,3,car,2,YELLOW,yellow,0.0,0.0,40.0,10.0,8,,1,
22,8,car,2,YELLOW,yellow,4.952,17.829,25.0,6.0,8,5.048,1,
22,12,motorcycle,3,YELLOW,yellow,,,54.0,5.0,8,,1,
22,10,motorcycle,3,YELLOW,yellow,,,10.0,,8,,1,
22,4,car,2,YELLOW,yellow,4.105,14.779,19.0,9.0,8,4.628,1,
23,9,truck,7,YELLOW,yellow,13.0,46.8,47.0,7.0,6,3.615,1,
23,2,car,2,YELLOW,yellow,1.083,3.9,48.0,1.0,6,44.308,1,
23,1,car,2,YELLOW,yellow,6.5,23.4,30.0,4.0,6,4.615,1,
23,3,car,2,YELLOW,yellow,0.0,0.0,40.0,10.0,6,,1,
23,8,car,2,YELLOW,yellow,3.545,12.764,26.0,17.0,6,7.333,1,
23,10,motorcycle,3,YELLOW,yellow,,,9.0,,6,,1,
24,9,truck,7,YELLOW,yellow,12.381,44.571,47.0,7.0,6,3.796,1,
24,2,car,2,YELLOW,yellow,0.0,0.0,49.0,2.0,6,,1,
24,3,car,2,YELLOW,yellow,0.0,0.0,40.0,10.0,6,,1,
24,1,car,2,YELLOW,yellow,6.24,22.464,30.0,2.0,6,4.808,1,
24,4,car,2,YELLOW,yellow,3.9,14.04,19.0,,6,4.872,1,
24,8,car,2,YELLOW,yellow,1.13,4.07,28.0,9.0,6,24.769,1,
25,9,truck,7,YELLOW,yellow,13.0,46.8,46.0,6.0,6,3.538,1,
25,2,car,2,YELLOW,yellow,0.0,0.0,49.0,3.0,6,,1,
25,3,car,2,YELLOW,yellow,0.0,0.0,40.0,10.0,6,,1,
25,1,car,2,YELLOW,yellow,6.0,21.6,30.0,2.0,6,5.0,1,
25,8,car,2,YELLOW,yellow,1.083,3.9,28.0,9.0,6,25.846,1,
25,4,car,2,YELLOW,yellow,3.714,13.371,19.0,,6,5.115,1,
26,9,truck,7,YELLOW,yellow,12.435,44.765,46.0,6.0,7,3.699,1,
26,2,car,2,YELLOW,yellow,0.0,0.0,49.0,3.0,7,,1,
26,1,car,2,YELLOW,yellow,7.0,25.2,29.0,10.0,7,4.143,1,
26,3,car,2,YELLOW,yellow,0.0,0.0,40.0,11.0,7,,1,
26,8,car,2,YELLOW,yellow,0.0,0.0,29.0,10.0,7,,1,
26,4,car,2,YELLOW,yellow,3.545,12.764,19.0,,7,5.359,1,
26,12,motorcycle,3,YELLOW,yellow,,,49.0,3.0,7,,1,
27,9,truck,7,YELLOW,yellow,11.917,42.9,46.0,6.0,7,3.86,1,
27,2,car,2,YELLOW,yellow,0.0,0.0,49.0,3.0,7,,1,
27,1,car,2,YELLOW,yellow,7.0,25.2,29.0,10.0,7,4.143,1,
27,3,car,2,YELLOW,yellow,0.0,0.0,40.0,11.0,7,,1,
27,4,car,2,YELLOW,yellow,3.391,12.209,19.0,12.0,7,5.603,1,
27,8,car,2,YELLOW,yellow,0.0,0.0,29.0,10.0,7,,1,
27,10,motorcycle,3,YELLOW,yellow,,,7.0,,7,,1,
28,9,truck,7,YELLOW,yellow,11.44,41.184,46.0,6.0,6,4.021,1,
28,2,car,2,YELLOW,yellow,0.0,0.0,49.0,3.0,6,,1,
28,1,car,2,YELLOW,yellow,6.0,21.6,29.0,10.0,6,4.833,1,
28,3,car,2,YELLOW,yellow,0.0,0.0,40.0,11.0,6,,1,
28,4,car,2,YELLOW,yellow,3.25,11.7,19.0,,6,5.846,1,
28,8,car,2,YELLOW,yellow,0.0,0.0,29.0,10.0,6,,1,
29,9,truck,7,YELLOW,yellow,12.0,43.2,45.0,5.0,7,3.75,1,
29,2,car,2,YELLOW,yellow,0.0,0.0,49.0,4.0,7,,1,
29,1,car,2,YELLOW,yellow,6.0,21.6,29.0,1.0,7,4.833,1,
29,3,car,2,YELLOW,yellow,0.0,0.0,40.0,11.0,7,,1,
29,4,car,2,YELLOW,yellow,3.12,11.232,19.0,13.0,7,6.09,1,
29,8,car,2,YELLOW,yellow,1.0,3.6,28.0,9.0,7,28.0,1,
29,10,motorcycle,3,YELLOW,yellow,,,6.0,,7,,1,
30,9,truck,7,YELLOW,yellow,12.0,43.2,44.0,4.0,7,3.667,1,
30,2,car,2,YELLOW,yellow,0.0,0.0,49.0,5.0,7,,1,
30,1,car,2,YELLOW,yellow,7.0,25.2,28.0,8.0,7,4.0,1,
30,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,7,,1,
30,4,car,2,YELLOW,yellow,2.0,7.2,20.0,14.0,7,10.0,1,
30,8,car,2,YELLOW,yellow,0.0,0.0,28.0,8.0,7,,1,
30,10,motorcycle,3,YELLOW,yellow,20.0,72.0,6.0,,7,0.3,1,
31,9,truck,7,YELLOW,yellow,12.0,43.2,44.0,4.0,7,3.667,1,
31,2,car,2,YELLOW,yellow,0.0,0.0,49.0,5.0,7,,1,
31,1,car,2,YELLOW,yellow,6.0,21.6,28.0,9.0,7,4.667,1,
31,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,7,,1,
31,8,car,2,YELLOW,yellow,0.0,0.0,28.0,9.0,7,,1,
31,4,car,2,YELLOW,yellow,2.0,7.2,19.0,13.0,7,9.5,1,
31,10,motorcycle,3,YELLOW,yellow,18.571,66.857,6.0,,7,0.323,1,
32,9,truck,7,YELLOW,yellow,12.0,43.2,44.0,4.0,6,3.667,1,
32,2,car,2,YELLOW,yellow,0.0,0.0,49.0,5.0,6,,1,
32,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,6,,1,
32,1,car,2,YELLOW,yellow,6.0,21.6,28.0,11.0,6,4.667,1,
32,8,car,2,YELLOW,yellow,0.0,0.0,28.0,11.0,6,,1,
32,6,car,2,YELLOW,yellow,1.444,5.2,17.0,,6,11.769,1,
33,9,truck,7,YELLOW,yellow,12.0,43.2,43.0,3.0,6,3.583,1,
33,2,car,2,YELLOW,yellow,0.0,0.0,49.0,6.0,6,,1,
33,1,car,2,YELLOW,yellow,6.0,21.6,28.0,11.0,6,4.667,1,
33,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,6,,1,
33,8,car,2,YELLOW,yellow,3.0,10.8,28.0,11.0,6,9.333,1,
33,6,car,2,YELLOW,yellow,1.368,4.926,17.0,,6,12.423,1,
34,9,truck,7,YELLOW,yellow,11.0,39.6,43.0,3.0,6,3.909,1,
34,2,car,2,YELLOW,yellow,0.0,0.0,49.0,6.0,6,,1,
34,1,car,2,YELLOW,yellow,6.0,21.6,28.0,11.0,6,4.667,1,
34,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,6,,1,
34,8,car,2,YELLOW,yellow,3.0,10.8,28.0,11.0,6,9.333,1,
34,6,car,2,YELLOW,yellow,1.3,4.68,17.0,,6,13.077,1,
35,9,truck,7,YELLOW,yellow,11.0,39.6,43.0,2.0,8,3.909,1,
35,2,car,2,YELLOW,yellow,0.0,0.0,49.0,6.0,8,,1,
35,1,car,2,YELLOW,yellow,6.0,21.6,28.0,11.0,8,4.667,1,
35,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,8,,1,
35,8,car,2,YELLOW,yellow,3.0,10.8,28.0,11.0,8,9.333,1,
35,6,car,2,YELLOW,yellow,1.238,4.457,17.0,13.0,8,13.731,1,
35,15,motorcycle,3,YELLOW,yellow,,,41.0,1.0,8,,1,
35,10,motorcycle,3,YELLOW,yellow,20.8,74.88,4.0,,8,0.192,1,
36,9,truck,7,YELLOW,yellow,11.0,39.6,42.0,2.0,7,3.818,1,
36,2,car,2,YELLOW,yellow,0.0,0.0,49.0,7.0,7,,1,
36,3,car,2,YELLOW,yellow,0.0,0.0,40.0,12.0,7,,1,
36,8,car,2,YELLOW,yellow,0.0,0.0,28.0,1.0,7,,1,
