frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,25.0,1.0,6,,0,
0,2,car,2,OFF,unknown,,,24.0,,6,,0,
0,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
0,4,car,2,OFF,unknown,,,40.0,10.0,6,,0,
0,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
0,6,car,2,OFF,unknown,,,30.0,5.0,6,,0,
1,1,car,2,OFF,unknown,,,25.0,1.0,6,,0,
1,2,car,2,OFF,unknown,,,24.0,,6,,0,
1,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
1,4,car,2,OFF,unknown,,,40.0,11.0,6,,0,
1,6,car,2,OFF,unknown,,,29.0,4.0,6,,0,
1,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
2,1,car,2,OFF,unknown,,,24.0,,6,,0,
2,2,car,2,OFF,unknown,,,24.0,,6,,0,
2,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
2,4,car,2,OFF,unknown,,,40.0,12.0,6,,0,
2,6,car,2,OFF,unknown,,,28.0,4.0,6,,0,
2,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
3,1,car,2,OFF,unknown,,,23.0,,6,,0,
3,2,car,2,OFF,unknown,,,23.0,,6,,0,
3,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
3,4,car,2,OFF,unknown,,,40.0,11.0,6,,0,
3,6,car,2,OFF,unknown,,,29.0,6.0,6,,0,
3,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
4,7,car,2,OFF,unknown,,,57.0,1.0,7,,0,
4,1,car,2,OFF,unknown,,,22.0,,7,,0,
4,3,car,2,OFF,unknown,,,56.0,11.0,7,,0,
4,2,car,2,OFF,unknown,,,23.0,1.0,7,,0,
4,4,car,2,OFF,unknown,,,39.0,11.0,7,,0,
4,6,car,2,OFF,unknown,,,28.0,5.0,7,,0,
4,5,car,2,OFF,unknown,,,45.0,6.0,7,,0,
5,7,car,2,OFF,unknown,,,56.0,11.0,6,,0,
5,1,car,2,OFF,unknown,,,21.0,,6,,0,
5,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
5,4,car,2,OFF,unknown,,,40.0,17.0,6,,0,
5,2,car,2,OFF,unknown,,,23.0,2.0,6,,0,
5,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
6,7,car,2,OFF,unknown,,,56.0,11.0,6,,0,
6,1,car,2,OFF,unknown,,,21.0,,6,,0,
6,3,car,2,OFF,unknown,,,56.0,11.0,6,,0,
6,4,car,2,OFF,unknown,,,40.0,18.0,6,,0,
6,2,car,2,OFF,unknown,,,22.0,1.0,6,,0,
6,5,car,2,OFF,unknown,,,45.0,5.0,6,,0,
7,7,car,2,OFF,unknown,,,55.0,9.0,6,,0,
7,1,car,2,OFF,unknown,,,20.0,,6,,0,
7,2,car,2,OFF,unknown,,,22.0,2.0,6,,0,
7,3,car,2,OFF,unknown,,,56.0,1.0,6,,0,
7,4,car,2,OFF,unknown,,,40.0,18.0,6,,0,
7,5,car,2,OFF,unknown,,,46.0,6.0,6,,0,
8,7,car,2,OFF,unknown,,,54.0,8.0,6,,0,
8,1,car,2,OFF,unknown,,,19.0,,6,,0,
8,3,car,2,OFF,unknown,,,56.0,2.0,6,,0,
8,2,car,2,OFF,unknown,,,22.0,3.0,6,,0,
8,4,car,2,OFF,unknown,,,40.0,18.0,6,,0,
8,5,car,2,OFF,unknown,,,46.0,6.0,6,,0,
9,7,car,2,RED,red,,,53.0,7.0,7,,0,
9,1,car,2,RED,red,,,18.0,,7,,0,
9,3,car,2,RED,red,,,56.0,3.0,7,,0,
9,4,car,2,RED,red,,,40.0,11.0,7,,0,
9,2,car,2,RED,red,,,22.0,4.0,7,,0,
9,5,car,2,RED,red,,,46.0,6.0,7,,0,
9,6,car,2,RED,red,,,29.0,7.0,7,,0,
10,7,car,2,RED,red,,,53.0,7.0,7,,0,
10,1,car,2,RED,red,,,18.0,,7,,0,
10,3,car,2,RED,red,,,56.0,3.0,7,,0,
10,4,car,2,RED,red,,,40.0,10.0,7,,0,
10,2,car,2,RED,red,,,21.0,3.0,7,,0,
10,5,car,2,RED,red,,,46.0,6.0,7,,0,
10,6,car,2,RED,red,,,30.0,9.0,7,,0,
11,7,car,2,RED,red,,,52.0,6.0,7,,0,
11,3,car,2,RED,red,0.0,0.0,56.0,4.0,7,,0,
11,4,car,2,RED,red,0.0,0.0,40.0,12.0,7,,0,
11,1,car,2,RED,red,16.0,57.6,17.0,,7,1.062,0,
11,2,car,2,RED,red,6.0,21.6,21.0,4.0,7,3.5,0,
11,5,car,2,RED,red,2.0,7.2,46.0,6.0,7,23.0,0,
11,6,car,2,RED,red,,,28.0,7.0,7,,0,
12,7,car,2,RED,red,,,50.0,4.0,7,,0,
12,3,car,2,RED,red,0.0,0.0,56.0,6.0,7,,0,
12,1,car,2,RED,red,16.615,59.815,16.0,,7,0.963,0,
12,4,car,2,RED,red,0.0,0.0,40.0,13.0,7,,0,
12,2,car,2,RED,red,5.538,19.938,21.0,5.0,7,3.792,0,
12,5,car,2,RED,red,1.846,6.646,46.0,6.0,7,24.917,0,
12,6,car,2,RED,red,,,27.0,6.0,7,,0,
13,7,car,2,RED,red,,,50.0,5.0,6,,0,
13,1,car,2,RED,red,17.143,61.714,15.0,,6,0.875,0,
13,2,car,2,RED,red,5.143,18.514,21.0,6.0,6,4.083,0,
13,4,car,2,RED,red,0.0,0.0,40.0,19.0,6,,0,
13,3,car,2,RED,red,0.0,0.0,56.0,6.0,6,,0,
13,5,car,2,RED,red,0.0,0.0,45.0,5.0,6,,0,
14,7,car,2,RED,red,,,49.0,4.0,6,,0,
14,1,car,2,RED,red,17.6,63.36,14.0,,6,0.795,0,
14,4,car,2,RED,red,0.0,0.0,40.0,19.0,6,,0,
14,3,car,2,RED,red,0.0,0.0,56.0,7.0,6,,0,
14,2,car,2,RED,red,4.8,17.28,21.0,7.0,6,4.375,0,
14,5,car,2,RED,red,0.0,0.0,45.0,5.0,6,,0,
15,7,car,2,RED,red,18.0,64.8,48.0,3.0,6,2.667,0,
15,1,car,2,RED,red,18.0,64.8,13.0,,6,0.722,0,
15,4,car,2,RED,red,0.0,0.0,40.0,20.0,6,,0,
15,2,car,2,RED,red,6.0,21.6,20.0,7.0,6,3.333,0,
15,3,car,2,RED,red,0.0,0.0,56.0,8.0,6,,0,
15,5,car,2,RED,red,0.0,0.0,45.0,5.0,6,,0,
16,7,car,2,RED,red,18.462,66.462,47.0,2.0,6,2.546,0,
16,1,car,2,RED,red,16.941,60.988,13.0,,6,0.767,0,
16,4,car,2,RED,red,0.0,0.0,40.0,20.0,6,,0,
16,3,car,2,RED,red,0.0,0.0,56.0,9.0,6,,0,
16,2,car,2,RED,red,5.647,20.329,20.0,7.0,6,3.542,0,
16,5,car,2,RED,red,0.0,0.0,45.0,5.0,6,,0,
17,7,car,2,RED,red,18.857,67.886,46.0,1.0,5,2.439,0,
17,1,car,2,RED,red,17.333,62.4,12.0,,5,0.692,0,
17,4,car,2,RED,red,0.0,0.0,40.0,28.0,5,,0,
17,3,car,2,RED,red,0.0,0.0,56.0,10.0,5,,0,
17,5,car,2,RED,red,0.0,0.0,45.0,5.0,5,,0,
18,7,car,2,RED,red,17.6,63.36,46.0,1.0,6,2.614,0,
18,1,car,2,RED,red,17.684,63.663,11.0,,6,0.622,0,
18,4,car,2,RED,red,0.0,0.0,40.0,21.0,6,,0,
18,3,car,2,RED,red,0.0,0.0,56.0,10.0,6,,0,
18,5,car,2,RED,red,0.0,0.0,45.0,5.0,6,,0,
18,2,car,2,RED,red,6.667,24.0,19.0,8.0,6,2.85,0,
19,7,car,2,YELLOW,yellow,18.0,64.8,45.0,5.0,5,2.5,1,
19,1,car,2,YELLOW,yellow,16.8,60.48,11.0,,5,0.655,1,
