frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,58.0,7.0,3,,0,
0,2,truck,7,OFF,unknown,,,51.0,,3,,0,
0,3,bus,5,OFF,unknown,,,51.0,,3,,0,
1,1,car,2,OFF,unknown,,,57.0,7.0,2,,0,
1,3,bus,5,OFF,unknown,,,50.0,,2,,0,
2,1,car,2,OFF,unknown,,,56.0,6.0,2,,0,
2,3,bus,5,OFF,unknown,,,50.0,,2,,0,
3,1,car,2,OFF,unknown,,,55.0,5.0,2,,0,
3,3,bus,5,OFF,unknown,,,50.0,,2,,0,
4,1,car,2,OFF,unknown,,,54.0,5.0,2,,0,
4,3,bus,5,OFF,unknown,,,49.0,,2,,0,
5,1,car,2,OFF,unknown,8.0,28.8,54.0,5.0,2,6.75,0,
5,3,bus,5,OFF,unknown,4.0,14.4,49.0,,2,12.25,0,
6,1,car,2,OFF,unknown,8.571,30.857,53.0,5.0,2,6.183,0,
6,3,bus,5,OFF,unknown,5.143,18.514,48.0,,2,9.333,0,
7,1,car,2,OFF,unknown,9.0,32.4,52.0,5.0,2,5.778,0,
7,3,bus,5,OFF,unknown,6.0,21.6,47.0,,2,7.833,0,
8,1,car,2,OFF,unknown,9.333,33.6,51.0,4.0,2,5.464,0,
8,3,bus,5,OFF,unknown,5.333,19.2,47.0,,2,8.812,0,
9,1,car,2,YELLOW,yellow,9.6,34.56,50.0,3.0,2,5.208,1,
9,3,bus,5,YELLOW,yellow,4.8,17.28,47.0,,2,9.792,1,
10,1,car,2,YELLOW,yellow,8.727,31.418,50.0,3.0,2,5.729,1,
10,3,bus,5,YELLOW,yellow,4.364,15.709,47.0,,2,10.771,1,
11,1,car,2,YELLOW,yellow,9.0,32.4,49.0,3.0,2,5.444,1,
11,3,bus,5,YELLOW,yellow,5.0,18.0,46.0,,2,9.2,1,
12,1,car,2,YELLOW,yellow,9.0,32.4,48.0,2.0,2,5.333,1,
12,3,bus,5,YELLOW,yellow,4.0,14.4,46.0,,2,11.5,1,
13,1,car,2,YELLOW,yellow,9.0,32.4,47.0,3.0,2,5.222,1,
13,3,bus,5,YELLOW,yellow,6.0,21.6,44.0,,2,7.333,1,
14,1,car,2,YELLOW,yellow,8.0,28.8,47.0,3.0,2,5.875,1,
14,3,bus,5,YELLOW,yellow,6.0,21.6,44.0,,2,7.333,1,
15,1,car,2,YELLOW,yellow,8.0,28.8,46.0,2.0,2,5.75,1,
15,3,bus,5,YELLOW,yellow,5.0,18.0,44.0,,2,8.8,1,
16,1,car,2,YELLOW,yellow,9.0,32.4,45.0,2.0,2,5.0,1,
16,3,bus,5,YELLOW,yellow,6.0,21.6,43.0,,2,7.167,1,
17,1,car,2,YELLOW,yellow,9.0,32.4,44.0,1.0,2,4.889,1,
17,3,bus,5,YELLOW,yellow,5.0,18.0,43.0,,2,8.6,1,
18,1,car,2,YELLOW,yellow,8.0,28.8,44.0,2.0,2,5.5,1,
18,3,bus,5,YELLOW,yellow,5.0,18.0,42.0,,2,8.4,1,
19,1,car,2,YELLOW,yellow,8.0,28.8,43.0,1.0,2,5.375,1,
19,3,bus,5,YELLOW,yellow,5.0,18.0,42.0,,2,8.4,1,
20,1,car,2,YELLOW,yellow,8.0,28.8,42.0,1.0,2,5.25,1,
20,3,bus,5,YELLOW,yellow,6.0,21.6,41.0,,2,6.833,1,
21,1,car,2,YELLOW,yellow,9.0,32.4,41.0,,2,4.556,1,
21,3,bus,5,YELLOW,yellow,6.0,21.6,41.0,,2,6.833,1,
22,1,car,2,YELLOW,yellow,9.0,32.4,40.0,,2,4.444,1,
22,3,bus,5,YELLOW,yellow,6.0,21.6,40.0,,2,6.667,1,
23,4,car,2,YELLOW,yellow,,,58.0,18.0,3,,1,
23,1,car,2,YELLOW,yellow,8.0,28.8,40.0,,3,5.0,1,
23,3,bus,5,YELLOW,yellow,6.0,21.6,40.0,,3,6.667,1,
24,1,car,2,YELLOW,yellow,8.0,28.8,39.0,,3,4.875,1,
24,4,car,2,YELLOW,yellow,,,57.0,17.0,3,,1,
24,3,bus,5,YELLOW,yellow,4.0,14.4,40.0,1.0,3,10.0,1,
25,1,car,2,YELLOW,yellow,9.0,32.4,38.0,,3,4.222,1,
