frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,51.0,9.0,4,,0,
0,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
0,3,car,2,OFF,unknown,,,33.0,22.0,4,,0,
0,4,car,2,OFF,unknown,,,11.0,,4,,0,
1,1,car,2,OFF,unknown,,,50.0,8.0,4,,0,
1,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
1,3,car,2,OFF,unknown,,,33.0,22.0,4,,0,
1,4,car,2,OFF,unknown,,,11.0,,4,,0,
2,1,car,2,OFF,unknown,,,49.0,7.0,4,,0,
2,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
2,3,car,2,OFF,unknown,,,33.0,22.0,4,,0,
2,4,car,2,OFF,unknown,,,11.0,,4,,0,
3,1,car,2,OFF,unknown,,,48.0,6.0,4,,0,
3,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
3,3,car,2,OFF,unknown,,,33.0,23.0,4,,0,
3,4,car,2,OFF,unknown,,,10.0,,4,,0,
4,1,car,2,OFF,unknown,,,48.0,6.0,4,,0,
4,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
4,3,car,2,OFF,unknown,,,33.0,24.0,4,,0,
4,4,car,2,OFF,unknown,,,9.0,,4,,0,
5,1,car,2,OFF,unknown,,,47.0,5.0,3,,0,
5,2,car,2,OFF,unknown,,,42.0,9.0,3,,0,
5,3,car,2,OFF,unknown,,,33.0,,3,,0,
6,1,car,2,OFF,unknown,,,46.0,4.0,4,,0,
6,2,car,2,OFF,unknown,,,42.0,9.0,4,,0,
6,3,car,2,OFF,unknown,,,33.0,25.0,4,,0,
6,4,car,2,OFF,unknown,,,8.0,,4,,0,
7,1,car,2,OFF,unknown,,,45.0,3.0,5,,0,
7,2,car,2,OFF,unknown,,,42.0,9.0,5,,0,
7,3,car,2,OFF,unknown,,,33.0,11.0,5,,0,
7,5,car,2,OFF,unknown,,,22.0,14.0,5,,0,
7,4,car,2,OFF,unknown,,,8.0,,5,,0,
8,1,car,2,OFF,unknown,,,45.0,3.0,5,,0,
8,2,car,2,OFF,unknown,,,42.0,9.0,5,,0,
8,3,car,2,OFF,unknown,,,33.0,11.0,5,,0,
8,4,car,2,OFF,unknown,,,7.0,,5,,0,
8,5,car,2,OFF,unknown,,,22.0,15.0,5,,0,
9,1,car,2,YELLOW,yellow,,,44.0,2.0,5,,1,
9,2,car,2,YELLOW,yellow,,,42.0,9.0,5,,1,
9,3,car,2,YELLOW,yellow,,,33.0,11.0,5,,1,
9,4,car,2,YELLOW,yellow,,,6.0,,5,,1,
9,5,car,2,YELLOW,yellow,,,22.0,16.0,5,,1,
10,1,car,2,YELLOW,yellow,,,43.0,1.0,5,,1,
10,2,car,2,YELLOW,yellow,,,42.0,9.0,5,,1,
10,3,car,2,YELLOW,yellow,,,33.0,11.0,5,,1,
10,4,car,2,YELLOW,yellow,,,6.0,,5,,1,
10,5,car,2,YELLOW,yellow,,,22.0,16.0,5,,1,
11,1,car,2,YELLOW,yellow,16.0,57.6,43.0,1.0,5,2.688,1,
11,2,car,2,YELLOW,yellow,0.0,0.0,42.0,9.0,5,,1,
11,3,car,2,YELLOW,yellow,0.0,0.0,33.0,11.0,5,,1,
11,4,car,2,YELLOW,yellow,,,5.0,,5,,1,
11,5,car,2,YELLOW,yellow,,,22.0,17.0,5,,1,
12,1,car,2,YELLOW,yellow,16.615,59.815,42.0,9.0,5,2.528,1,
12,2,car,2,YELLOW,yellow,0.0,0.0,42.0,9.0,5,,1,
12,3,car,2,YELLOW,yellow,0.0,0.0,33.0,10.0,5,,1,
12,5,car,2,YELLOW,yellow,,,23.0,18.0,5,,1,
12,4,car,2,YELLOW,yellow,12.0,43.2,5.0,,5,0.417,1,
13,1,car,2,YELLOW,yellow,17.143,61.714,41.0,8.0,5,2.392,1,
13,2,car,2,YELLOW,yellow,0.0,0.0,42.0,1.0,5,,1,
13,3,car,2,YELLOW,yellow,0.0,0.0,33.0,10.0,5,,1,
13,5,car,2,YELLOW,yellow,,,23.0,19.0,5,,1,
13,4,car,2,YELLOW,yellow,12.923,46.523,4.0,,5,0.31,1,
14,6,car,2,YELLOW,yellow,,,58.0,16.0,6,,1,
14,1,car,2,YELLOW,yellow,16.0,57.6,41.0,8.0,6,2.562,1,
14,2,car,2,YELLOW,yellow,0.0,0.0,42.0,1.0,6,,1,
14,3,car,2,YELLOW,yellow,0.0,0.0,33.0,10.0,6,,1,
14,4,car,2,YELLOW,yellow,13.714,49.371,3.0,,6,0.219,1,
14,5,car,2,YELLOW,yellow,,,23.0,20.0,6,,1,
15,6,car,2,YELLOW,yellow,,,57.0,15.0,6,,1,
15,1,car,2,YELLOW,yellow,16.5,59.4,40.0,7.0,6,2.424,1,
15,2,car,2,YELLOW,yellow,0.0,0.0,42.0,2.0,6,,1,
15,3,car,2,YELLOW,yellow,0.0,0.0,33.0,10.0,6,,1,
15,4,car,2,YELLOW,yellow,14.4,51.84,2.0,,6,0.139,1,
15,5,car,2,YELLOW,yellow,,,23.0,21.0,6,,1,
16,6,car,2,YELLOW,yellow,,,56.0,14.0,6,,1,
16,1,car,2,YELLOW,yellow,16.941,60.988,39.0,6.0,6,2.302,1,
16,2,car,2,YELLOW,yellow,0.0,0.0,42.0,3.0,6,,1,
16,3,car,2,YELLOW,yellow,0.0,0.0,33.0,10.0,6,,1,
16,4,car,2,YELLOW,yellow,13.5,48.6,2.0,,6,0.148,1,
16,5,car,2,YELLOW,yellow,,,23.0,21.0,6,,1,
