frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,46.0,19.0,4,,0,
0,2,truck,7,OFF,unknown,,,22.0,5.0,4,,0,
0,3,car,2,OFF,unknown,,,27.0,5.0,4,,0,
0,4,motorcycle,3,OFF,unknown,,,17.0,,4,,0,
1,1,car,2,OFF,unknown,,,45.0,18.0,4,,0,
1,2,truck,7,OFF,unknown,,,22.0,6.0,4,,0,
1,3,car,2,OFF,unknown,,,27.0,5.0,4,,0,
1,4,motorcycle,3,OFF,unknown,,,16.0,,4,,0,
2,1,car,2,OFF,unknown,,,45.0,17.0,4,,0,
2,2,truck,7,OFF,unknown,,,21.0,5.0,4,,0,
2,3,car,2,OFF,unknown,,,28.0,7.0,4,,0,
2,4,motorcycle,3,OFF,unknown,,,16.0,,4,,0,
3,1,car,2,OFF,unknown,,,44.0,16.0,4,,0,
3,2,truck,7,OFF,unknown,,,21.0,6.0,4,,0,
3,3,car,2,OFF,unknown,,,28.0,7.0,4,,0,
3,4,motorcycle,3,OFF,unknown,,,15.0,,4,,0,
4,1,car,2,OFF,unknown,,,44.0,16.0,4,,0,
4,2,truck,7,OFF,unknown,,,21.0,7.0,4,,0,
4,3,car,2,OFF,unknown,,,28.0,7.0,4,,0,
4,4,motorcycle,3,OFF,unknown,,,14.0,,4,,0,
5,1,car,2,OFF,unknown,,,43.0,15.0,4,,0,
5,2,truck,7,OFF,unknown,,,20.0,7.0,4,,0,
5,3,car,2,OFF,unknown,,,28.0,8.0,4,,0,
5,4,motorcycle,3,OFF,unknown,,,13.0,,4,,0,
6,1,car,2,OFF,unknown,,,42.0,14.0,3,,0,
6,2,truck,7,OFF,unknown,,,19.0,,3,,0,
6,3,car,2,OFF,unknown,,,28.0,9.0,3,,0,
7,1,car,2,OFF,unknown,,,42.0,14.0,3,,0,
7,2,truck,7,OFF,unknown,,,19.0,,3,,0,
7,3,car,2,OFF,unknown,,,28.0,9.0,3,,0,
8,1,car,2,OFF,unknown,,,41.0,13.0,3,,0,
8,2,truck,7,OFF,unknown,,,18.0,,3,,0,
8,3,car,2,OFF,unknown,,,28.0,10.0,3,,0,
9,6,car,2,RED,red,,,57.0,17.0,4,,0,
9,1,car,2,RED,red,,,40.0,12.0,4,,0,
9,2,truck,7,RED,red,,,17.0,,4,,0,
9,3,car,2,RED,red,,,28.0,11.0,4,,0,
10,6,car,2,RED,red,,,56.0,16.0,4,,0,
10,1,car,2,RED,red,,,40.0,13.0,4,,0,
10,2,truck,7,RED,red,,,17.0,,4,,0,
10,3,car,2,RED,red,,,27.0,10.0,4,,0,
11,6,car,2,RED,red,,,55.0,16.0,4,,0,
11,1,car,2,RED,red,14.0,50.4,39.0,12.0,4,2.786,0,
11,2,truck,7,RED,red,12.0,43.2,16.0,,4,1.333,0,
11,3,car,2,RED,red,0.0,0.0,27.0,11.0,4,,0,
12,6,car,2,RED,red,,,54.0,16.0,4,,0,
12,1,car,2,RED,red,14.769,53.169,38.0,11.0,4,2.573,0,
12,2,truck,7,RED,red,12.923,46.523,15.0,,4,1.161,0,
12,3,car,2,RED,red,0.0,0.0,27.0,12.0,4,,0,
13,6,car,2,RED,red,,,54.0,16.0,4,,0,
