frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,37.0,22.0,4,,0,
0,2,car,2,OFF,unknown,,,39.0,2.0,4,,0,
0,3,car,2,OFF,unknown,,,15.0,3.0,4,,0,
0,4,car,2,OFF,unknown,,,12.0,,4,,0,
1,1,car,2,OFF,unknown,,,36.0,21.0,3,,0,
1,2,car,2,OFF,unknown,,,39.0,3.0,3,,0,
1,3,truck,7,OFF,unknown,,,15.0,,3,,0,
2,1,car,2,OFF,unknown,,,35.0,21.0,5,,0,
2,2,car,2,OFF,unknown,,,39.0,4.0,5,,0,
2,5,bus,5,OFF,unknown,,,0.0,,5,,0,
2,3,car,2,OFF,unknown,,,14.0,1.0,5,,0,
2,4,car,2,OFF,unknown,,,13.0,13.0,5,,0,
3,1,car,2,OFF,unknown,,,34.0,21.0,4,,0,
3,2,car,2,OFF,unknown,,,39.0,5.0,4,,0,
3,3,car,2,OFF,unknown,,,13.0,13.0,4,,0,
3,5,bus,5,OFF,unknown,,,0.0,,4,,0,
4,1,car,2,OFF,unknown,,,33.0,20.0,5,,0,
4,2,car,2,OFF,unknown,,,39.0,6.0,5,,0,
4,3,car,2,OFF,unknown,,,13.0,13.0,5,,0,
4,5,bus,5,OFF,unknown,,,0.0,,5,,0,
4,4,car,2,OFF,unknown,,,13.0,13.0,5,,0,
5,1,car,2,OFF,unknown,,,33.0,20.0,5,,0,
5,2,car,2,OFF,unknown,,,39.0,6.0,5,,0,
5,5,bus,5,OFF,unknown,,,0.0,,5,,0,
5,3,car,2,OFF,unknown,,,12.0,12.0,5,,0,
5,4,car,2,OFF,unknown,,,13.0,1.0,5,,0,
6,1,car,2,OFF,unknown,,,32.0,19.0,5,,0,
6,2,car,2,OFF,unknown,,,39.0,7.0,5,,0,
6,5,bus,5,OFF,unknown,,,0.0,,5,,0,
6,3,car,2,OFF,unknown,,,12.0,12.0,5,,0,
6,4,car,2,OFF,unknown,,,13.0,1.0,5,,0,
7,1,car,2,OFF,unknown,,,31.0,18.0,5,,0,
7,2,car,2,OFF,unknown,,,39.0,8.0,5,,0,
7,5,bus,5,OFF,unknown,,,0.0,,5,,0,
7,3,car,2,OFF,unknown,,,11.0,11.0,5,,0,
7,4,car,2,OFF,unknown,,,13.0,2.0,5,,0,
8,1,car,2,OFF,unknown,,,31.0,18.0,5,,0,
8,2,car,2,OFF,unknown,,,39.0,8.0,5,,0,
8,5,bus,5,OFF,unknown,,,0.0,,5,,0,
8,3,car,2,OFF,unknown,,,11.0,11.0,5,,0,
8,4,car,2,OFF,unknown,,,13.0,2.0,5,,0,
9,1,car,2,YELLOW,yellow,,,30.0,20.0,4,,1,
9,2,car,2,YELLOW,yellow,,,39.0,9.0,4,,1,
9,5,bus,5,YELLOW,yellow,,,0.0,,4,,0,
9,3,car,2,YELLOW,yellow,,,10.0,10.0,4,,1,
10,1,car,2,YELLOW,yellow,14.636,52.691,30.0,17.0,5,2.05,1,
10,2,car,2,YELLOW,yellow,0.0,0.0,39.0,9.0,5,,1,
10,5,bus,5,YELLOW,yellow,,,0.0,,5,,0,
10,3,car,2,YELLOW,yellow,12.545,45.164,9.0,9.0,5,0.717,1,
10,4,car,2,YELLOW,yellow,,,13.0,4.0,5,,1,
11,1,car,2,YELLOW,yellow,15.333,55.2,29.0,16.0,6,1.891,1,
11,2,car,2,YELLOW,yellow,0.0,0.0,39.0,10.0,6,,1,
11,5,bus,5,YELLOW,yellow,,,0.0,,6,,0,
11,3,car,2,YELLOW,yellow,11.5,41.4,9.0,5.0,6,0.783,1,
11,7,car,2,YELLOW,yellow,,,4.0,4.0,6,,1,
11,4,car,2,YELLOW,yellow,,,13.0,4.0,6,,1,
12,1,car,2,YELLOW,yellow,15.923,57.323,28.0,15.0,6,1.758,1,
12,2,car,2,YELLOW,yellow,0.0,0.0,39.0,11.0,6,,1,
12,5,bus,5,YELLOW,yellow,4.182,15.055,2.0,,6,0.478,0,
12,3,car,2,YELLOW,yellow,12.385,44.585,8.0,4.0,6,0.646,1,
12,4,car,2,YELLOW,yellow,,,13.0,5.0,6,,1,
12,7,car,2,YELLOW,yellow,,,4.0,2.0,6,,1,
13,1,car,2,YELLOW,yellow,16.429,59.143,27.0,15.0,6,1.643,1,
13,2,car,2,YELLOW,yellow,0.0,0.0,39.0,12.0,6,,1,
13,3,car,2,YELLOW,yellow,13.143,47.314,7.0,3.0,6,0.533,1,
13,5,bus,5,YELLOW,yellow,0.0,0.0,0.0,,6,,0,
13,4,car,2,YELLOW,yellow,0.0,0.0,12.0,5.0,6,,1,
13,7,car,2,YELLOW,yellow,,,4.0,4.0,6,,1,
14,1,car,2,YELLOW,yellow,15.333,55.2,27.0,15.0,6,1.761,1,
14,2,car,2,YELLOW,yellow,0.0,0.0,39.0,12.0,6,,1,
14,5,bus,5,YELLOW,yellow,0.0,0.0,0.0,,6,,0,
14,3,car,2,YELLOW,yellow,12.267,44.16,7.0,3.0,6,0.571,1,
14,4,car,2,YELLOW,yellow,0.0,0.0,12.0,5.0,6,,1,
14,7,car,2,YELLOW,yellow,,,4.0,4.0,6,,1,
15,1,car,2,YELLOW,yellow,15.812,56.925,26.0,13.0,6,1.644,1,
15,2,car,2,YELLOW,yellow,0.0,0.0,39.0,13.0,6,,1,
15,5,bus,5,YELLOW,yellow,0.0,0.0,0.0,,6,,0,
15,3,car,2,YELLOW,yellow,12.938,46.575,6.0,2.0,6,0.464,1,
15,4,car,2,YELLOW,yellow,1.769,6.369,13.0,7.0,6,7.348,1,
15,7,car,2,YELLOW,yellow,,,4.0,4.0,6,,1,
16,1,car,2,YELLOW,yellow,16.235,58.447,25.0,12.0,6,1.54,1,
16,2,car,2,YELLOW,yellow,0.0,0.0,39.0,14.0,6,,1,
