frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,45.0,,3,,0,
0,2,motorcycle,3,OFF,unknown,,,45.0,,3,,0,
0,3,bus,5,OFF,unknown,,,55.0,10.0,3,,0,
1,1,car,2,OFF,unknown,,,44.0,,2,,0,
1,3,truck,7,OFF,unknown,,,55.0,11.0,2,,0,
2,1,car,2,OFF,unknown,,,44.0,1.0,3,,0,
2,4,motorcycle,3,OFF,unknown,,,43.0,,3,,0,
2,3,truck,7,OFF,unknown,,,55.0,11.0,3,,0,
3,1,car,2,OFF,unknown,,,43.0,,2,,0,
3,3,truck,7,OFF,unknown,,,55.0,12.0,2,,0,
4,5,car,2,OFF,unknown,,,57.0,2.0,3,,0,
4,1,car,2,OFF,unknown,,,42.0,,3,,0,
4,3,truck,7,OFF,unknown,,,55.0,13.0,3,,0,
5,5,car,2,OFF,unknown,,,56.0,1.0,4,,0,
5,1,car,2,OFF,unknown,,,42.0,2.0,4,,0,
5,7,motorcycle,3,OFF,unknown,,,40.0,,4,,0,
5,3,bus,5,OFF,unknown,,,55.0,13.0,4,,0,
6,5,car,2,OFF,unknown,,,55.0,14.0,3,,0,
6,1,car,2,OFF,unknown,,,41.0,,3,,0,
6,3,bus,5,OFF,unknown,,,55.0,14.0,3,,0,
7,5,car,2,OFF,unknown,,,54.0,14.0,3,,0,
7,1,car,2,OFF,unknown,,,40.0,,3,,0,
7,3,bus,5,OFF,unknown,,,55.0,1.0,3,,0,
8,5,car,2,OFF,unknown,,,54.0,14.0,5,,0,
8,1,car,2,OFF,unknown,,,40.0,3.0,5,,0,
8,9,motorcycle,3,OFF,unknown,,,37.0,,5,,0,
8,3,truck,7,OFF,unknown,,,55.0,1.0,5,,0,
8,10,bus,5,OFF,unknown,,,55.0,1.0,5,,0,
9,5,car,2,YELLOW,yellow,,,53.0,14.0,3,,1,
9,3,truck,7,YELLOW,yellow,,,55.0,2.0,3,,1,
9,1,car,2,YELLOW,yellow,,,39.0,,3,,1,
10,5,car,2,YELLOW,yellow,,,53.0,,2,,1,
10,3,truck,7,YELLOW,yellow,,,55.0,2.0,2,,1,
11,5,car,2,YELLOW,yellow,,,52.0,13.0,4,,1,
11,3,bus,5,YELLOW,yellow,,,55.0,3.0,4,,1,
11,12,motorcycle,3,YELLOW,yellow,,,34.0,,4,,1,
11,1,car,2,YELLOW,yellow,,,39.0,5.0,4,,1,
12,5,car,2,YELLOW,yellow,,,51.0,,3,,1,
12,3,truck,7,YELLOW,yellow,0.0,0.0,55.0,4.0,3,,1,
12,13,bus,5,YELLOW,yellow,,,55.0,4.0,3,,1,
13,5,car,2,YELLOW,yellow,,,50.0,,3,,1,
13,3,truck,7,YELLOW,yellow,0.0,0.0,55.0,5.0,3,,1,
13,13,bus,5,YELLOW,yellow,,,55.0,5.0,3,,1,
14,5,car,2,YELLOW,yellow,,,50.0,19.0,4,,1,
14,13,bus,5,YELLOW,yellow,,,55.0,5.0,4,,1,
14,15,motorcycle,3,YELLOW,yellow,,,31.0,,4,,1,
14,3,truck,7,YELLOW,yellow,0.0,0.0,55.0,5.0,4,,1,
15,5,car,2,YELLOW,yellow,,,49.0,,3,,1,
15,3,truck,7,YELLOW,yellow,0.0,0.0,55.0,6.0,3,,1,
