frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,25.0,,1,,0,
1,1,car,2,OFF,unknown,,,25.0,,1,,0,
2,1,car,2,OFF,unknown,,,25.0,,1,,0,
3,2,car,2,OFF,unknown,,,58.0,33.0,2,,0,
3,1,car,2,OFF,unknown,,,25.0,,2,,0,
4,2,car,2,OFF,unknown,,,57.0,32.0,2,,0,
4,1,car,2,OFF,unknown,,,25.0,,2,,0,
5,2,car,2,OFF,unknown,,,56.0,31.0,2,,0,
5,1,car,2,OFF,unknown,,,25.0,,2,,0,
6,2,car,2,OFF,unknown,,,55.0,30.0,2,,0,
6,1,car,2,OFF,unknown,,,25.0,,2,,0,
7,2,car,2,OFF,unknown,,,54.0,29.0,2,,0,
7,1,car,2,OFF,unknown,,,25.0,,2,,0,
8,2,car,2,OFF,unknown,,,53.0,27.0,2,,0,
8,1,car,2,OFF,unknown,,,26.0,,2,,0,
9,2,car,2,YELLOW,yellow,,,53.0,27.0,2,,1,
9,1,car,2,YELLOW,yellow,,,26.0,,2,,1,
10,2,car,2,YELLOW,yellow,,,52.0,26.0,2,,1,
10,1,car,2,YELLOW,yellow,,,26.0,,2,,1,
11,2,car,2,YELLOW,yellow,,,51.0,25.0,2,,1,
11,1,car,2,YELLOW,yellow,,,26.0,,2,,1,
12,2,car,2,YELLOW,yellow,,,50.0,24.0,2,,1,
12,1,car,2,YELLOW,yellow,2.0,7.2,26.0,,2,13.0,1,
13,2,car,2,YELLOW,yellow,,,49.0,23.0,2,,1,
13,1,car,2,YELLOW,yellow,1.857,6.686,26.0,,2,14.0,1,
14,2,car,2,YELLOW,yellow,,,49.0,24.0,2,,1,
14,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,2,,1,
15,2,car,2,YELLOW,yellow,20.0,72.0,48.0,23.0,3,2.4,1,
15,1,car,2,YELLOW,yellow,0.0,0.0,25.0,,3,,1,
15,3,motorcycle,3,YELLOW,yellow,,,55.0,7.0,3,,1,
16,2,car,2,YELLOW,yellow,20.429,73.543,47.0,21.0,2,2.301,1,
16,1,car,2,YELLOW,yellow,1.529,5.506,26.0,,2,17.0,1,
17,2,car,2,YELLOW,yellow,19.067,68.64,47.0,21.0,2,2.465,1,
17,1,car,2,YELLOW,yellow,1.444,5.2,26.0,,2,18.0,1,
18,2,car,2,YELLOW,yellow,19.5,70.2,46.0,20.0,3,2.359,1,
18,1,car,2,YELLOW,yellow,1.368,4.926,26.0,8.0,3,19.0,1,
18,4,car,2,YELLOW,yellow,,,18.0,,3,,1,
19,2,car,2,YELLOW,yellow,18.353,66.071,46.0,20.0,3,2.506,1,
19,1,car,2,YELLOW,yellow,1.3,4.68,26.0,8.0,3,20.0,1,
