frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,51.0,14.0,7,,0,
0,2,car,2,OFF,unknown,,,52.0,1.0,7,,0,
0,3,car,2,OFF,unknown,,,37.0,5.0,7,,0,
0,4,car,2,OFF,unknown,,,7.0,4.0,7,,0,
0,5,car,2,OFF,unknown,,,3.0,,7,,0,
0,6,car,2,OFF,unknown,,,32.0,10.0,7,,0,
0,7,car,2,OFF,unknown,,,22.0,15.0,7,,0,
1,1,car,2,OFF,unknown,,,51.0,14.0,7,,0,
1,2,car,2,OFF,unknown,,,51.0,14.0,7,,0,
1,4,car,2,OFF,unknown,,,7.0,4.0,7,,0,
1,3,car,2,OFF,unknown,,,37.0,6.0,7,,0,
1,6,car,2,OFF,unknown,,,31.0,9.0,7,,0,
1,5,car,2,OFF,unknown,,,3.0,,7,,0,
1,7,car,2,OFF,unknown,,,22.0,15.0,7,,0,
2,1,car,2,OFF,unknown,,,50.0,14.0,7,,0,
2,2,car,2,OFF,unknown,,,51.0,1.0,7,,0,
2,6,car,2,OFF,unknown,,,30.0,9.0,7,,0,
2,3,car,2,OFF,unknown,,,36.0,6.0,7,,0,
2,4,car,2,OFF,unknown,,,6.0,4.0,7,,0,
2,5,car,2,OFF,unknown,,,2.0,,7,,0,
2,7,car,2,OFF,unknown,,,21.0,15.0,7,,0,
3,1,car,2,OFF,unknown,,,49.0,13.0,7,,0,
3,2,car,2,OFF,unknown,,,51.0,2.0,7,,0,
3,6,car,2,OFF,unknown,,,29.0,8.0,7,,0,
3,3,car,2,OFF,unknown,,,36.0,7.0,7,,0,
3,5,car,2,OFF,unknown,,,1.0,,7,,0,
3,4,car,2,OFF,unknown,,,6.0,5.0,7,,0,
3,7,car,2,OFF,unknown,,,21.0,15.0,7,,0,
4,1,car,2,OFF,unknown,,,48.0,12.0,7,,0,
4,2,car,2,OFF,unknown,,,50.0,2.0,7,,0,
4,3,car,2,OFF,unknown,,,36.0,7.0,7,,0,
