frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,truck,7,OFF,unknown,,,42.0,16.0,3,,0,
0,2,car,2,OFF,unknown,,,26.0,,3,,0,
0,3,motorcycle,3,OFF,unknown,,,43.0,1.0,3,,0,
1,1,truck,7,OFF,unknown,,,41.0,15.0,2,,0,
1,2,car,2,OFF,unknown,,,26.0,,2,,0,
2,1,truck,7,OFF,unknown,,,40.0,14.0,2,,0,
2,2,car,2,OFF,unknown,,,26.0,,2,,0,
3,1,truck,7,OFF,unknown,,,40.0,14.0,3,,0,
3,2,car,2,OFF,unknown,,,26.0,,3,,0,
3,4,motorcycle,3,OFF,unknown,,,40.0,14.0,3,,0,
4,1,truck,7,OFF,unknown,,,38.0,12.0,2,,0,
4,2,car,2,OFF,unknown,,,26.0,,2,,0,
5,1,truck,7,OFF,unknown,,,37.0,11.0,2,,0,
5,2,car,2,OFF,unknown,,,26.0,,2,,0,
6,1,truck,7,OFF,unknown,,,37.0,11.0,2,,0,
6,2,car,2,OFF,unknown,,,26.0,,2,,0,
7,1,truck,7,OFF,unknown,,,36.0,10.0,2,,0,
7,2,car,2,OFF,unknown,,,26.0,,2,,0,
8,1,truck,7,OFF,unknown,,,35.0,9.0,2,,0,
8,2,car,2,OFF,unknown,,,26.0,,2,,0,
9,2,car,2,RED,red,,,26.0,,2,,0,
9,1,truck,7,RED,red,,,34.0,8.0,2,,0,
10,1,truck,7,RED,red,,,33.0,7.0,2,,0,
10,2,car,2,RED,red,,,26.0,,2,,0,
11,2,car,2,RED,red,0.0,0.0,26.0,,2,,0,
11,1,truck,7,RED,red,20.833,75.0,32.0,6.0,2,1.536,0,
12,1,truck,7,YELLOW,yellow,19.231,69.231,32.0,1.0,3,1.664,1,
12,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
12,7,motorcycle,3,YELLOW,yellow,,,31.0,5.0,3,,1,
13,1,truck,7,YELLOW,yellow,19.643,70.714,31.0,1.0,3,1.578,1,
13,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
13,7,motorcycle,3,YELLOW,yellow,,,30.0,4.0,3,,1,
14,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
14,1,truck,7,YELLOW,yellow,20.0,72.0,30.0,1.0,3,1.5,1,
14,7,motorcycle,3,YELLOW,yellow,,,29.0,3.0,3,,1,
15,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
15,1,truck,7,YELLOW,yellow,20.312,73.125,29.0,1.0,3,1.428,1,
15,7,motorcycle,3,YELLOW,yellow,,,28.0,2.0,3,,1,
16,1,truck,7,YELLOW,yellow,20.588,74.118,28.0,1.0,3,1.36,1,
16,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
16,7,motorcycle,3,YELLOW,yellow,,,27.0,1.0,3,,1,
17,1,truck,7,YELLOW,yellow,20.833,75.0,27.0,1.0,3,1.296,1,
17,2,car,2,YELLOW,yellow,0.0,0.0,26.0,,3,,1,
17,7,motorcycle,3,YELLOW,yellow,,,26.0,,3,,1,
18,1,truck,7,YELLOW,yellow,19.737,71.053,27.0,1.0,3,1.368,1,
18,2,car,2,YELLOW,yellow,0.0,0.0,26.0,1.0,3,,1,
18,7,motorcycle,3,YELLOW,yellow,,,25.0,,3,,1,
19,1,truck,7,YELLOW,yellow,20.0,72.0,26.0,2.0,3,1.3,1,
19,2,car,2,YELLOW,yellow,0.0,0.0,26.0,2.0,3,,1,
19,7,motorcycle,3,YELLOW,yellow,,,24.0,,3,,1,
20,1,truck,7,YELLOW,yellow,20.238,72.857,25.0,2.0,3,1.235,1,
20,2,car,2,YELLOW,yellow,0.0,0.0,26.0,1.0,3,,1,
20,7,motorcycle,3,YELLOW,yellow,,,23.0,,3,,1,
21,1,truck,7,YELLOW,yellow,19.318,69.545,25.0,3.0,3,1.294,1,
21,2,car,2,YELLOW,yellow,0.0,0.0,26.0,1.0,3,,1,
21,7,motorcycle,3,YELLOW,yellow,,,22.0,,3,,1,
22,1,truck,7,YELLOW,yellow,19.565,70.435,24.0,3.0,3,1.227,1,
22,2,car,2,YELLOW,yellow,0.0,0.0,26.0,2.0,3,,1,
22,7,motorcycle,3,YELLOW,yellow,,,21.0,,3,,1,
