frame_index,tracker_id,vehicle_type,class_id,traffic_light_status,phase_state,speed_ms,speed_kmh,distance_to_stop_line_m,distance_to_front_vehicle_m,traffic_density,ttc_s,pending_yellow_decision,yellow_light_decision
0,1,car,2,OFF,unknown,,,36.0,1.0,5,,0,
0,2,car,2,OFF,unknown,,,45.0,2.0,5,,0,
0,3,car,2,OFF,unknown,,,43.0,7.0,5,,0,
0,4,car,2,OFF,unknown,,,10.0,,5,,0,
0,5,car,2,OFF,unknown,,,35.0,25.0,5,,0,
1,1,car,2,OFF,unknown,,,36.0,2.0,5,,0,
1,2,car,2,OFF,unknown,,,45.0,3.0,5,,0,
1,3,car,2,OFF,unknown,,,42.0,6.0,5,,0,
1,4,car,2,OFF,unknown,,,10.0,,5,,0,
1,5,car,2,OFF,unknown,,,34.0,24.0,5,,0,
2,1,car,2,OFF,unknown,,,35.0,1.0,5,,0,
2,2,car,2,OFF,unknown,,,45.0,4.0,5,,0,
2,4,car,2,OFF,unknown,,,9.0,,5,,0,
2,3,car,2,OFF,unknown,,,41.0,6.0,5,,0,
2,5,car,2,OFF,unknown,,,34.0,25.0,5,,0,
3,1,car,2,OFF,unknown,,,34.0,25.0,5,,0,
3,2,car,2,OFF,unknown,,,44.0,3.0,5,,0,
3,3,car,2,OFF,unknown,,,41.0,7.0,5,,0,
3,4,car,2,OFF,unknown,,,9.0,,5,,0,
3,5,car,2,OFF,unknown,,,34.0,25.0,5,,0,
4,1,car,2,OFF,unknown,,,33.0,25.0,5,,0,
4,2,car,2,OFF,unknown,,,44.0,4.0,5,,0,
4,3,car,2,OFF,unknown,,,40.0,6.0,5,,0,
4,4,car,2,OFF,unknown,,,8.0,,5,,0,
4,5,car,2,OFF,unknown,,,34.0,1.0,5,,0,
5,1,car,2,OFF,unknown,,,32.0,25.0,5,,0,
5,2,car,2,OFF,unknown,,,44.0,6.0,5,,0,
5,3,car,2,OFF,unknown,,,38.0,4.0,5,,0,
5,4,car,2,OFF,unknown,,,7.0,,5,,0,
5,5,car,2,OFF,unknown,,,34.0,2.0,5,,0,
