frame_index,tracker_id,vehicle_type,class_id,x,y,distance,time_s,speed_kmh,speed_ms,traffic_light_status,yellow_light,distance_to_stop_line,distance_to_front_vehicle,traffic_density,ttc,yellow_light_decision,go_stop_label
62,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
63,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
64,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
65,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
66,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
67,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
68,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
69,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
70,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
71,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
72,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
73,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
74,1,car,2,4,28,0.0,1.0,0.0,0.0,RED,False,28.0,,1,999.0,,0
75,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
76,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
77,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
78,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
79,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
80,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
81,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
82,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
83,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
84,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
85,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
86,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
87,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
88,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
89,1,car,2,4,28,0.0,1.0,0.0,0.0,YELLOW,True,28.0,,1,999.0,,0
